n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
425,1691717,0.790191497,356.7166957,0,0.95174793
426,1526538,0.790191497,357.5068872,1,0.95174793
427,1689074,0.789638649,358.2965259,1,0.951082052
428,1646714,0.789537859,359.0860637,0,0.950960655
429,1673795,0.789478522,359.8755423,0,0.950889187
430,1524011,0.788691652,360.6642339,1,0.949941439
431,1525509,0.788660415,361.4528943,1,0.949903815
432,1341289,0.788607759,362.2415021,0,0.949840394
433,1691200,0.788393446,363.0298955,1,0.949582264
434,1677779,0.787158562,363.8170541,0,0.948094906
435,1586788,0.786835046,364.6038892,1,0.947705246
436,1682876,0.785903339,365.3897925,1,0.946583049
437,1692012,0.784897877,366.1746904,1,0.945372018
438,1684976,0.78480271,366.9594931,1,0.945257394
439,1623789,0.783817102,367.7433102,0,0.944070276
440,1492784,0.783455468,368.5267656,1,0.943634705
441,1543871,0.78233027,369.3090959,1,0.942279458
442,1614697,0.782119454,370.0912154,1,0.94202554
443,1682806,0.781842635,370.873058,1,0.941692125
444,1675988,0.781631479,371.6546895,1,0.941437798
445,1463069,0.781165938,372.4358554,1,0.940877076
446,1693650,0.780808571,373.216664,0,0.940446645
447,1183433,0.780750991,373.997415,1,0.940377292
448,1590870,0.780055317,374.7774703,0,0.939539386
449,1672092,0.779995477,375.5574658,0,0.939467311
450,1673105,0.779995477,376.3374613,1,0.939467311
451,1693721,0.779890244,377.1173515,1,0.939340563
452,1514978,0.779643454,377.896995,1,0.939043316
453,1638832,0.779415041,378.67641,1,0.938768204
454,1666185,0.779407774,379.4558178,1,0.938759452
455,1672619,0.779242037,380.2350598,1,0.938559828
456,1616441,0.778922244,381.013982,1,0.938174654
457,1695915,0.778850507,381.7928326,0,0.938088249
458,1172211,0.777019263,382.5698518,1,0.935882603
459,1654857,0.77677727,383.3466291,0,0.935591135
460,1687817,0.774865905,384.121495,1,0.933288987
461,1694787,0.77409007,384.8955851,0,0.932354531
462,1591103,0.77409007,385.6696751,0,0.932354531
463,1664868,0.773810962,386.4434861,0,0.932018358
464,1619633,0.773429744,387.2169158,1,0.9315592
465,1633287,0.773429744,387.9903456,0,0.9315592
466,1676178,0.772895062,388.7632406,1,0.9309152
467,1683714,0.772245209,389.5354859,1,0.930132483
468,1634709,0.771212039,390.3066979,1,0.928888079
469,1673474,0.770177116,391.076875,1,0.927641565
470,1688879,0.768475408,391.8453504,0,0.925591939
471,1676819,0.768141687,392.6134921,1,0.925189988
472,1691386,0.768126522,393.3816186,0,0.925171722
473,1685254,0.768016484,394.1496351,1,0.925039186
474,1617106,0.767573784,394.9172089,1,0.924505976
475,1652781,0.766910544,395.6841194,1,0.923707135
