PersonId,Matriculated,RegionPrefLevel,RequestedRegionalReassignment,Ethnicity,Senior2007,CumulativeGPA,SpecialEducationPrefLevel,BilingualPreferred,Gender,ReceivedPellGrants,PrimarySubject,GradeLevel,IsMathMajorMinor,IsScienceMajorMinor,IsEngineeringMajorMinor,IsMathSciorEngMajorMinor,Contacted
1556819,1,1,0,1,1,3.9,1,1,0,0,1,1,0,0,0,0,1
1598789,1,1,0,1,1,3.8,1,0,0,2,1,1,0,0,0,0,0
1403397,1,1,0,1,0,3.7,3,1,0,0,2,2,0,1,0,1,1
1485985,1,1,0,1,1,3.8,3,1,0,0,14,2,0,0,0,0,0
1599806,1,1,0,5,1,2.6,1,0,1,1,8,3,0,0,0,0,1
1591753,1,1,0,1,0,3.3,1,0,0,1,1,1,0,0,0,0,0
1420132,1,1,0,6,1,4,2,0,0,0,5,2,0,0,0,0,0
1569816,1,1,0,1,1,3.8,1,0,0,0,3,3,0,0,0,0,0
1579905,1,1,0,1,1,3.5,3,0,0,0,10,1,0,0,0,0,0
1410906,1,1,0,3,1,3.7,1,0,0,1,12,2,0,0,0,0,1
1567817,1,1,0,1,1,3.9,1,0,1,0,3,2,0,0,0,0,0
1599882,1,1,0,3,0,3.6,1,0,0,0,1,1,0,0,0,0,1
1521812,1,1,0,4,1,3.6,1,0,0,2,1,1,0,0,0,0,0
1164007,1,1,0,4,1,3.9,1,0,0,0,13,1,0,0,0,0,1
1578547,1,1,0,3,0,3.2,1,0,0,0,1,1,0,0,0,0,1
1579521,1,1,0,1,1,4,1,0,0,0,1,1,0,0,0,0,0
1582279,1,1,0,1,1,3.4,1,0,0,0,1,1,0,0,0,0,0
1574551,1,2,0,1,1,3.7,1,0,0,0,12,3,0,0,0,0,0
1587782,1,1,0,4,0,3.3,1,0,1,0,15,2,0,0,0,0,1
1467481,1,2,0,4,1,3.3,1,0,0,0,10,1,0,0,0,0,0
1571653,1,1,0,1,1,3.9,1,0,0,0,12,2,0,0,0,0,1
1574328,1,1,0,3,1,3.1,1,1,0,2,1,1,0,0,0,0,0
1389436,1,1,0,4,1,3.4,1,0,0,0,12,2,0,0,0,0,1
1586528,1,1,0,1,1,3.5,1,0,0,0,1,1,0,0,0,0,1
1596826,1,1,0,1,1,3.3,3,0,0,0,10,2,0,0,0,0,0
1565670,1,2,0,2,1,3.9,3,0,0,0,2,2,0,1,0,1,0
1559420,1,1,0,6,1,3.5,3,0,1,0,9,3,0,1,0,1,1
1490750,1,1,0,1,1,3.5,3,0,0,1,9,2,0,0,0,0,0
1543881,1,1,0,1,1,3.2,1,0,1,0,1,1,0,0,0,0,0
1398515,1,1,0,1,1,2.8,1,0,0,0,1,1,0,0,0,0,0
1601367,1,1,0,5,1,3.4,1,1,1,2,1,1,0,0,0,0,0
1526626,1,1,0,1,1,3.6,1,0,0,0,12,2,0,0,0,0,1
1578148,1,1,0,1,1,3.5,1,0,0,0,1,1,0,0,0,0,0
1580454,1,1,0,3,0,3,1,0,0,1,1,1,0,0,0,0,0
1467178,1,1,0,1,1,3.8,1,0,0,0,14,3,0,0,0,0,1
1596504,1,1,0,3,1,2.9,1,0,0,2,12,2,0,0,0,0,0
1334316,1,1,0,1,1,3.5,1,0,0,0,3,3,0,0,0,0,0
1541915,1,1,0,1,1,4,1,0,0,0,4,2,0,1,0,1,0
1571544,1,1,0,5,1,3.9,1,1,0,0,1,1,0,0,0,0,1
1581304,1,1,0,1,1,4,1,0,0,0,11,2,0,0,0,0,0
1347487,1,1,0,3,1,3,1,0,0,0,1,1,0,0,0,0,1
1285648,0,1,0,1,1,4,1,0,0,1,1,1,0,0,0,0,1
1586925,1,1,0,1,1,3.8,1,0,1,0,1,1,0,0,0,0,0
1554076,0,1,1,1,1,3.1,1,1,0,0,2,2,0,1,0,1,0
1580869,1,1,1,3,0,3.6,3,0,0,1,8,2,0,0,0,0,0
1595806,1,1,0,1,1,3.7,1,0,0,0,1,1,0,0,0,0,0
1442288,0,1,1,3,1,3.1,1,0,0,0,2,2,0,0,0,0,0
1607034,1,1,1,5,1,3,1,1,0,1,10,1,0,0,0,0,0
1527360,1,3,0,1,1,4,1,1,0,1,5,2,0,0,0,0,1
1223729,1,1,0,1,1,3.9,3,0,0,0,10,1,0,0,0,0,0
1580952,1,1,0,3,0,3.5,1,0,0,0,8,2,0,0,0,0,1
1533389,1,1,0,4,1,3.8,1,0,0,1,1,1,0,0,0,0,1
1491655,1,1,0,1,1,3.8,1,0,0,2,1,1,0,0,0,0,0
1264549,1,1,0,1,1,3.8,1,0,0,0,13,1,0,0,0,0,0
1586506,1,1,0,1,1,3.7,1,0,1,0,1,1,0,0,0,0,0
1388722,1,1,0,3,1,3.6,3,1,0,0,1,1,0,0,0,0,1
1306074,1,1,0,1,1,3.3,1,0,0,0,1,1,0,0,0,0,0
1599781,1,1,0,1,0,4,1,0,0,0,8,3,0,0,0,0,1
1592796,1,1,0,6,1,3.7,1,0,0,0,1,1,0,0,0,0,0
1573412,1,1,0,1,1,3.7,1,1,1,0,1,1,0,0,0,0,0
1582206,0,1,0,1,1,3.9,1,0,0,0,8,3,1,0,0,1,0
1463743,1,1,0,1,1,3.3,1,0,1,0,6,2,0,1,0,1,1
1580492,1,1,0,1,1,3.6,1,0,0,0,12,2,0,0,0,0,0
1288824,1,1,1,3,1,3.5,1,1,0,0,1,1,0,0,0,0,0
1596847,0,1,0,1,1,3.7,1,0,0,0,9,2,0,1,0,1,0
1578617,1,1,0,3,0,3.1,1,0,0,0,5,2,0,0,0,0,0
1306573,1,1,0,1,1,3.6,1,0,0,0,12,3,0,0,0,0,1
1565999,1,1,0,1,1,3.1,3,1,0,0,6,3,0,0,0,0,0
1579051,1,1,0,4,1,3.1,1,1,0,2,12,3,0,0,0,0,0
1578912,1,1,0,1,0,3.9,1,0,0,0,3,3,0,0,0,0,1
1344145,1,1,0,1,1,3.6,1,0,1,0,4,2,0,1,0,1,0
1582315,1,1,0,3,0,3.8,1,0,0,0,16,1,0,0,0,0,1
1578183,1,1,0,1,1,3.6,3,0,0,0,10,1,0,0,0,0,0
1578699,1,1,0,1,1,4,1,0,0,0,1,1,0,0,0,0,0
1397318,0,1,0,4,1,3.1,2,0,0,2,10,1,0,0,0,0,0
1174077,0,1,0,1,1,3.9,2,0,1,1,10,3,0,0,0,0,0
1581283,1,1,0,1,1,3.8,3,1,1,2,5,2,0,0,0,0,0
1468165,1,1,0,1,1,3.8,1,0,0,0,1,1,0,0,0,0,0
1587947,1,1,0,4,0,3.5,1,0,0,0,5,2,0,0,0,0,1
1299412,1,1,0,1,1,3.9,3,1,0,1,10,2,0,0,0,0,0
1559523,1,1,0,1,1,3.4,1,0,0,0,9,2,0,0,0,0,1
1592760,1,1,1,3,0,2.8,1,0,1,2,2,2,0,0,0,0,0
1564321,1,1,0,1,1,4,1,1,0,0,1,1,0,0,0,0,0
